AccidentID,DateTime,County,WeatherCondition,RoadCondition,VehicleType,SeverityLevel,NumberOfVehicles,NumberOfInjuries,Cause,Junction,Traffic_Signal,Bump
A00000,4/8/2023 3:31,Queens,Rainy,Dry,Car,Minor,1,4,Drunk Driving,FALSE,TRUE,FALSE
A00001,8/23/2023 23:07,Queens,Snowy,Under Construction,Car,Moderate,2,5,Drunk Driving,FALSE,FALSE,FALSE
A00002,10/12/2023 4:49,Staten Island,Sunny,Wet,Car,Moderate,2,4,Distracted Driving,TRUE,TRUE,TRUE
A00003,6/6/2023 23:23,Staten Island,Sunny,Under Construction,Truck,Minor,2,5,Distracted Driving,TRUE,FALSE,FALSE
A00004,3/5/2023 12:31,Brooklyn,Sunny,Wet,Motorcycle,Moderate,2,2,Speeding,TRUE,TRUE,TRUE
A00005,2/11/2023 7:05,Manhattan,Sunny,Under Construction,Truck,Moderate,2,9,Speeding,FALSE,FALSE,TRUE
A00006,11/13/2023 1:26,Staten Island,Sunny,Dry,,Moderate,1,5,Distracted Driving,TRUE,FALSE,FALSE
A00007,5/14/2023 17:46,Manhattan,Sunny,Dry,Bus,Moderate,1,1,Speeding,TRUE,FALSE,FALSE
A00008,5/12/2023 4:01,Manhattan,Sunny,Dry,Truck,Severe,4,4,Speeding,FALSE,FALSE,FALSE
A00009,10/17/2023 23:28,Brooklyn,Rainy,Wet,Truck,Moderate,1,1,Speeding,FALSE,FALSE,FALSE
A00010,3/24/2023 22:29,Staten Island,Sunny,Under Construction,Truck,Moderate,2,0,Speeding,TRUE,FALSE,TRUE
A00011,10/24/2023 11:49,Staten Island,Foggy,Dry,Motorcycle,Moderate,2,1,Drunk Driving,FALSE,TRUE,FALSE
A00012,5/23/2023 11:01,Manhattan,Sunny,Dry,Truck,Moderate,1,9,Poor Road Condition,FALSE,TRUE,TRUE
A00013,7/6/2023 23:26,The Bronx,Foggy,Dry,Car,Severe,1,9,Poor Road Condition,FALSE,FALSE,FALSE
A00014,8/11/2023 5:50,Brooklyn,Foggy,Under Construction,Motorcycle,Severe,1,0,Distracted Driving,FALSE,FALSE,TRUE
A00015,10/20/2023 17:27,Queens,Snowy,Under Construction,,Moderate,2,7,Speeding,TRUE,FALSE,FALSE
A00016,4/23/2023 5:25,Brooklyn,Sunny,Wet,Bus,Severe,3,0,Distracted Driving,FALSE,FALSE,FALSE
A00017,3/26/2023 6:05,Brooklyn,Foggy,Under Construction,Truck,Severe,1,1,Drunk Driving,FALSE,FALSE,FALSE
A00018,1/6/2023 18:42,Manhattan,Sunny,Under Construction,Car,Moderate,1,7,Distracted Driving,FALSE,FALSE,FALSE
A00019,3/13/2023 21:26,Brooklyn,Foggy,Under Construction,Motorcycle,Moderate,3,9,Distracted Driving,FALSE,FALSE,FALSE
A00020,4/3/2023 10:59,Queens,Foggy,Under Construction,Truck,Moderate,1,7,Speeding,FALSE,TRUE,FALSE
A00021,3/26/2023 14:39,Manhattan,Snowy,Under Construction,Bus,Minor,1,3,Poor Road Condition,TRUE,TRUE,FALSE
A00022,4/28/2023 23:08,Brooklyn,Foggy,,Bus,Moderate,3,7,Distracted Driving,FALSE,FALSE,FALSE
A00023,11/10/2023 23:20,Brooklyn,Sunny,Dry,,Severe,1,1,Speeding,FALSE,FALSE,TRUE
A00024,2/8/2023 9:40,Queens,Sunny,Dry,Motorcycle,Minor,2,4,Drunk Driving,TRUE,FALSE,FALSE
A00025,1/30/2023 0:31,The Bronx,Foggy,Under Construction,Car,Severe,1,3,Poor Road Condition,TRUE,FALSE,FALSE
A00026,10/7/2023 17:05,Queens,Sunny,Under Construction,Car,Moderate,4,1,Speeding,TRUE,FALSE,FALSE
A00027,11/27/2023 16:06,The Bronx,Rainy,Dry,Truck,Minor,2,7,Speeding,FALSE,FALSE,FALSE
A00028,6/7/2023 1:34,Staten Island,Snowy,Wet,Car,Moderate,1,6,Speeding,TRUE,TRUE,TRUE
A00029,5/23/2023 3:49,Queens,Snowy,Dry,Truck,Minor,3,0,Distracted Driving,FALSE,FALSE,FALSE
A00030,1/23/2023 4:51,Manhattan,Foggy,Wet,Truck,Moderate,1,9,Poor Road Condition,FALSE,TRUE,FALSE
