Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
18.0,Spotify,4.0,False,False,False,Video game music,False,True,132.0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,7.0,7.0,10.0,2.0,1
61.0,YouTube Music,2.5,True,False,True,Jazz,True,True,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,9.0,7.0,3.0,3.0,0
18.0,Spotify,4.0,True,False,False,R&B,True,False,107.0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,7.0,2.0,5.0,9.0,0
18.0,Spotify,5.0,True,True,True,Jazz,True,True,86.0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,8.0,8.0,7.0,7.0,0
18.0,YouTube Music,3.0,True,True,False,Video game music,True,True,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,4.0,8.0,6.0,0.0,0
21.0,Spotify,1.0,True,False,False,K pop,True,True,95.0,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,5.0,3.0,5.0,3.0,0
19.0,Spotify,6.0,True,False,False,Rock,False,False,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,2.0,0.0,0.0,0.0,0
18.0,No Streaming Service,1.0,True,False,False,R&B,True,True,155.0,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,2.0,2.0,5.0,1.0,0
18.0,Spotify,3.0,True,True,False,Country,True,False,120.0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,7.0,7.0,4.0,7.0,1
19.0,YouTube Music,8.0,True,False,False,EDM,True,False,125.0,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,1.0,0.0,0.0,1.0,0
21.0,Spotify,3.0,True,False,False,Hip hop,True,True,120.0,1,0,1,0,0,3,0,2,0,3,0,2,2,1,1,0,9.0,3.0,2.0,7.0,0
19.0,Spotify,2.0,True,False,False,Country,True,False,88.0,0,3,1,2,0,2,0,0,0,1,0,1,0,3,0,0,2.0,1.0,2.0,0.0,0
18.0,Spotify,4.0,True,True,False,Jazz,True,True,148.0,3,1,0,0,0,0,3,0,2,1,2,2,0,0,2,1,6.0,4.0,7.0,0.0,0
17.0,Spotify,2.0,False,False,False,Pop,True,True,120.0,1,1,0,0,0,2,1,1,1,1,1,3,1,2,2,1,7.0,5.0,4.0,1.0,2
16.0,Spotify,8.0,True,False,False,Hip hop,True,True,103.0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,1,8.0,8.0,4.0,3.0,0
16.0,Spotify,12.0,True,False,True,Hip hop,True,True,120.0,1,0,2,1,0,3,1,0,0,0,2,2,1,2,3,0,5.0,7.0,10.0,0.0,0
17.0,Spotify,24.0,True,False,False,Rap,True,False,99.0,1,0,0,0,0,2,2,2,1,0,2,1,2,3,3,0,7.0,5.0,0.0,3.0,0
15.0,Spotify,3.0,False,False,False,Hip hop,False,False,120.0,0,0,0,0,0,3,1,0,0,0,1,1,2,3,1,0,7.0,3.0,0.0,2.0,0
15.0,Apple Music,8.0,True,False,False,Hip hop,True,True,120.0,1,0,2,1,0,3,2,3,2,1,1,3,1,3,2,2,6.0,9.0,3.0,0.0,0
17.0,Spotify,4.0,True,False,False,Rap,True,False,125.0,0,1,1,0,0,2,0,0,0,1,1,2,0,3,2,0,10.0,10.0,2.0,4.0,0
19.0,No Streaming Service,5.0,True,False,False,R&B,True,True,118.0,1,1,2,3,1,3,2,0,0,1,1,1,3,3,2,1,6.0,7.0,5.0,4.0,0
18.0,Spotify,2.0,True,False,False,Pop,False,True,79.0,1,1,2,0,0,1,0,1,2,0,0,3,0,0,0,1,3.0,3.0,8.0,6.0,1
16.0,Other,3.0,True,True,True,Rock,True,True,84.0,1,1,0,1,2,2,2,0,1,0,2,0,2,1,3,2,10.0,6.0,8.0,10.0,0
18.0,Spotify,2.0,False,False,False,Pop,True,True,169.0,2,1,1,3,1,1,1,3,0,2,0,3,2,2,2,0,7.0,4.0,2.0,5.0,0
